id,age,prone,supine,reclined,standing,sitting,held,other,onground,awake,sleeping,unavailable,samples,walksum,sitsum,tpsum,selfsit,bellysum,hksum,standsum,available,pronep,supinep,reclinedp,standingp,sittingp,heldp,ongroundp,walkprop,sitprop,hkprop,standprop,tripod,bellyprop,walker,sitter,crawler,bcrawler,stander,trisitter,anysit,anycrawl,walkcomp,crawlcomp,anycrawlcomp,sitcomp
1,6,3,3,3,6,1,14, ,11,30,6,1,37,0,0,0, ,0,0,0,36,.1,.1,.1,.2,.0333333333333333,.466666666666667,.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1,-1,0
2,6,3,2,6,3,5,9, ,9,28,8,0,36,0,15,35,0,0,0,0,36,.107142857142857,.0714285714285714,.214285714285714,.107142857142857,.178571428571429,.321428571428571,.321428571428571,0,.416666666666667,0,0,.972222222222222,0,0,0,0,0,0,1,1,0, ,-1,-1,1
4,6,5,1,4,0,3,7,1,5,22,10,3,36,0,0,0,0,30,0,0,33,.227272727272727,.0454545454545455,.181818181818182,0,.136363636363636,.318181818181818,.227272727272727,0,0,0,0,0,.833333333333333,0,0,0,1,0,0,0,1, ,-1,-1,0
5,9,2,2,0,4,7,10, ,14,25,9,0,35,0,35,35,0,0,0,0,35,.08,.08,0,.16,.28,.4,.56,0,1,0,0,1,0,0,1,0,0,0,1,1,0,-1,0,0, 
6,6,0,4,4,0,9,10, ,11,27,8,0,35,0,35,35,0,0,0,0,35,0,.148148148148148,.148148148148148,0,.333333333333333,.37037037037037,.407407407407407,0,1,0,0,1,0,0,1,0,0,0,1,1,0, ,-1,-1,1
7,3,0,5,4,2,2,16, ,7,29,3,2,34,0,0,0,0,0,0,0,32,0,.172413793103448,.137931034482759,.0689655172413793,.0689655172413793,.551724137931034,.241379310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
8,9,4,0,3,9,5,1, ,13,22,8,0,35,0,35,35, ,35,35,0,35,.181818181818182,0,.136363636363636,.409090909090909,.227272727272727,.0454545454545455,.590909090909091,0,1,1,0,1,1,0,1,1,1,0,1,1,1,-1,1,1, 
10,12,1,1,7,10,7,7, ,15,33,2,0,35,35,35,35,1,35,35,35,35,.0303030303030303,.0303030303030303,.212121212121212,.303030303030303,.212121212121212,.212121212121212,.454545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , 
11,9,4,0,7,7,2,5, ,12,25,7,1,35,0,35,35,1,35,35,0,34,.16,0,.28,.28,.08,.2,.48,0,1,1,0,1,1,0,1,1,1,0,1,1,1,-1,1,1, 
12,12,0,3,7,8,6,5,2,11,31,0,0,36,35,35,35,1,0,35,35,36,0,.0967741935483871,.225806451612903,.258064516129032,.193548387096774,.161290322580645,.354838709677419,.972222222222222,.972222222222222,.972222222222222,.972222222222222,.972222222222222,0,1,1,1,0,1,1,1,1,1, , , 
13,6,3,4,3,1,2,1,2,9,16,18,1,35,0,0,0,0,0,0,0,34,.1875,.25,.1875,.0625,.125,.0625,.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1,-1,0
15,6,5,2,3,4,7,7,2,10,30,4,0,36,0,35,35,1,0,0,0,36,.166666666666667,.0666666666666667,.1,.133333333333333,.233333333333333,.233333333333333,.333333333333333,0,.972222222222222,0,0,.972222222222222,0,0,1,0,0,0,1,1,0, ,-1,-1,1
16,9,5,0,1,9,9,4, ,15,28,7,0,35,0,35,0,1,35,35,35,35,.178571428571429,0,.0357142857142857,.321428571428571,.321428571428571,.142857142857143,.535714285714286,0,1,1,1,0,1,0,1,1,1,1,0,1,1,-1,1,1, 
17,3,0,6,8,0,1,16, ,8,31,3,0,35,0,0,0,0,0,0,0,35,0,.193548387096774,.258064516129032,0,.032258064516129,.516129032258065,.258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
18,12,4,1,3,8,9,4, ,17,29,3,1,35,0,35,35,1,35,35,20,34,.137931034482759,.0344827586206897,.103448275862069,.275862068965517,.310344827586207,.137931034482759,.586206896551724,0,1,1,.571428571428571,1,1,0,1,1,1,1,1,1,1,0, , , 
19,9,0,0,6,3,7,12, ,11,28,5,1,35,0,35,35,1,0,35,0,34,0,0,.214285714285714,.107142857142857,.25,.428571428571429,.392857142857143,0,1,1,0,1,0,0,1,1,0,0,1,1,1,-1,1,1, 
20,9,5,0,5,2,6,7,3,9,27,6,1,35,0,35,35,1,0,35,0,34,.185185185185185,0,.185185185185185,.0740740740740741,.222222222222222,.259259259259259,.333333333333333,0,1,1,0,1,0,0,1,1,0,0,1,1,1,-1,1,1, 
21,12,0,0,1,5,11,12, ,7,29,5,0,35,0,35,35,1,0,0,35,35,0,0,.0344827586206897,.172413793103448,.379310344827586,.413793103448276,.241379310344828,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0, , , 
22,12,2,0,2,10,7,2,1,19,24,10,1,35,20,35,0,1,0,35,35,34,.0833333333333333,0,.0833333333333333,.416666666666667,.291666666666667,.0833333333333333,.791666666666667,.571428571428571,1,1,1,0,0,1,1,1,0,1,0,1,1,1, , , 
23,9,1,2,3,2,10,0,1,13,19,10,4,35,0,35,35,0,0,0,0,31,.0526315789473684,.105263157894737,.157894736842105,.105263157894737,.526315789473684,0,.684210526315789,0,1,0,0,1,0,0,1,0,0,0,1,1,0,-1,0,0, 
24,3,0,2,5,1,0,14,3,2,25,9,0,35,0,0,0,0,0,0,0,35,0,.08,.2,.04,0,.56,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
25,3,0,11,7,0,0,12, ,10,30,5,0,35,0,0,0,0,0,0,0,35,0,.366666666666667,.233333333333333,0,0,.4,.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
26,6,0,6,1,0,0,7,1,6,15,18,0,36,0,0,0,0,0,0,0,36,0,.4,.0666666666666667,0,0,.466666666666667,.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1,-1,0
27,9,0,0,3,5,9,7, ,7,24,6,0,35,0,35,35,1,0,35,0,35,0,0,.125,.208333333333333,.375,.291666666666667,.291666666666667,0,1,1,0,1,0,0,1,1,0,0,1,1,1,-1,1,1, 
28,9,4,1,2,4,4,7,4,11,26,8,1,35,0,35,35,1,35,35,0,34,.153846153846154,.0384615384615385,.0769230769230769,.153846153846154,.153846153846154,.269230769230769,.423076923076923,0,1,1,0,1,1,0,1,1,1,0,1,1,1,-1,1,1, 
29,6,0,6,3,1,4,10, ,8,24,9,2,35,0,0,10,0,0,0,0,33,0,.25,.125,.0416666666666667,.166666666666667,.416666666666667,.333333333333333,0,0,0,0,.285714285714286,0,0,0,0,0,0,0,0,0, ,-1,-1,0
30,6,4,7,5,0,6,7, ,7,29,5,0,35,0,35,0,0,0,0,0,35,.137931034482759,.241379310344828,.172413793103448,0,.206896551724138,.241379310344828,.241379310344828,0,1,0,0,0,0,0,1,0,0,0,0,1,0, ,-1,-1,1
31,6,0,11,6,0,0,5,8,13,30,3,2,35,0,0,0,0,0,0,0,33,0,.366666666666667,.2,0,0,.166666666666667,.433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-1,-1,0
32,6,2,4,5,0,2,14,1,4,28,7,0,35,0,20,0,0,0,0,0,35,.0714285714285714,.142857142857143,.178571428571429,0,.0714285714285714,.5,.142857142857143,0,.571428571428571,0,0,0,0,0,1,0,0,0,0,1,0, ,-1,-1,1
33,12,1,0,4,8,9,2, ,11,24,11,2,37,35,35,35,1,0,35,20,35,.0416666666666667,0,.166666666666667,.333333333333333,.375,.0833333333333333,.458333333333333,.945945945945946,.945945945945946,.945945945945946,.540540540540541,.945945945945946,0,1,1,1,0,1,1,1,1,1, , , 
34,9,3,0,4,1,12,3,1,6,25,8,3,36,0,35,35,1,0,5,0,33,.12,0,.16,.04,.48,.12,.24,0,.972222222222222,.138888888888889,0,.972222222222222,0,0,1,0,0,0,1,1,0,-1,0,0, 
35,3,0,12,6,0,1,11, ,3,30,3,3,39,0,0,0,0,0,0,0,36,0,.4,.2,0,.0333333333333333,.366666666666667,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
36,3,1,4,4,0,0,11, ,5,20,13,1,35,0,0,0,0,0,0,0,34,.05,.2,.2,0,0,.55,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
37,12,2,2,0,3,12,3, ,15,22,12,1,35,0,35,0,1,0,35,0,34,.0909090909090909,.0909090909090909,0,.136363636363636,.545454545454545,.136363636363636,.681818181818182,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0, , , 
38,12,0,0,1,4,14,5, ,24,24,10,0,35,20,35,35,1,35,35,35,35,0,0,.0416666666666667,.166666666666667,.583333333333333,.208333333333333,1,.571428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , 
39,12,0,0,8,5,8,2, ,11,23,4,5,35,0,35,35,1,0,35,35,30,0,0,.347826086956522,.217391304347826,.347826086956522,.0869565217391304,.478260869565217,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0, , , 
40,3,1,5,11,0,0,16, ,5,33,2,0,35,0,0,0,0,0,0,0,35,.0303030303030303,.151515151515152,.333333333333333,0,0,.484848484848485,.151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
41,3,1,5,12,0,1,9, ,5,28,7,0,35,0,0,0,0,0,0,0,35,.0357142857142857,.178571428571429,.428571428571429,0,.0357142857142857,.321428571428571,.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,-1
42,6,0,5,6,1,5,7, ,3,24,10,0,35,0,35,0,0,0,0,0,35,0,.208333333333333,.25,.0416666666666667,.208333333333333,.291666666666667,.125,0,1,0,0,0,0,0,1,0,0,0,0,1,0, ,-1,-1,1
